group_type,group,n,discordant,discordance_rate,mp_stable_alex_unstable,mp_unstable_alex_stable,median_abs_delta_mev,p90_abs_delta_mev
element_count,binary,8707,1093,0.1255311818077409,696,397,1.1326562499925,26.61357352777901
element_count,quaternary_plus,9302,767,0.08245538593850785,583,184,1.2118672499994494,26.24039171780146
element_count,ternary,24781,3147,0.1269924538961301,2323,824,0.32698785713660206,19.190256428568503
element_count,unary,349,53,0.1518624641833811,26,27,4.847899999992696,31.4830389999972
contains_transition_metal,False,11084,1515,0.1366835077589318,1089,426,0.8048100815708001,24.713645894396635
contains_transition_metal,True,32055,3545,0.1105911714241148,2539,1006,0.5982439035078085,21.526112900000925
contains_lanthanide,False,28076,2994,0.10663912238210571,2183,811,0.9557754903835487,21.308890059524145
contains_lanthanide,True,15063,2066,0.1371572727876253,1445,621,0.20463767856969406,24.281145499999866
contains_actinide,False,43139,5060,0.1172952548737801,3628,1432,0.6410483377111975,22.351612666667375
contains_oxygen,False,31590,4212,0.13333333333333333,3077,1135,0.42862510416705535,22.412275045452457
contains_oxygen,True,11549,848,0.07342627067278552,551,297,1.2502151388922023,21.936745559679476
contains_halogen,False,36681,4030,0.10986614323491727,2807,1223,0.4428324999983038,21.111686944443708
contains_halogen,True,6458,1030,0.15949210281820997,821,209,2.6587570486351497,29.246566007815595
